country,governorate,locationtypeend,demandtypeone,tacticprimary,violence,combined_sizes
Iraq,Baghdad,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Government building,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Occupation / sit-in,Riot,30001.0
Iraq,Baghdad,School,Politics (national),March,None,301.0
Iraq,Baghdad,School,Politics (national),March,None,301.0
Iraq,Baghdad,School,Politics (national),March,None,301.0
Iraq,Baghdad,School,Politics (national),March,None,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,31.0
Iraq,Baghdad,School,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,School,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Kerbala,Midan,Politics (national),March,None,301.0
Iraq,Diyala,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Diyala,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,Basrah,Government building,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Diyala,Main road,Politics (national),March,None,1678.8664992466097
Iraq,Babylon,University,Politics (national),March,None,1678.8664992466097
Iraq,ThiQar,Other,Politics (national),Demonstration / protest,Riot,31.0
Iraq,Wassit,Main road,Social,Demonstration / protest,None,301.0
Iraq,Wassit,Factory or industrial site,Social,Demonstration / protest,None,301.0
Iraq,Wassit,Government building,Social,Demonstration / protest,None,301.0
Iraq,Basrah,School,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Factory or industrial site,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Infrastructure,Politics (national),Roadblock or blockade,None,1678.8664992466097
Iraq,Basrah,Main road,Politics (national),March,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Politics (national),Demonstration / protest,None,301.0
Iraq,Diyala,Cannot be determined,Politics (national),Strike,None,1678.8664992466097
Iraq,Najaf,Cannot be determined,Politics (national),Strike,None,1678.8664992466097
Iraq,Baghdad,Government building,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),Occupation / sit-in,None,301.0
Iraq,Wassit,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Kerbala,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Corruption,Demonstration / protest,None,3001.0
Iraq,Basrah,Cannot be determined,Corruption,Demonstration / protest,None,3001.0
Iraq,Najaf,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Sulaymaniyah,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,30001.0
Iraq,Missan,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
